,time,x_est,y_est,rot_est,x_gt,y_gt,rot_gt
0,1660880107.8866441,0.08453030559709741,0.051984837864855346,0.0,0.08498640581575317,0.04911155300583747,0.0004742062438071534
1,1660880108.0864718,0.08453030559709741,0.051984837864855346,0.0004742062438071534,0.08498728092654917,0.04912200557731526,0.05958213237060871
2,1660880108.2876084,0.08453030559709741,0.051984837864855346,0.05958213237060871,0.0849879151769953,0.049172379478341445,0.09870321878512797
3,1660880108.489967,0.08453030559709741,0.051984837864855346,0.09870321878512797,0.08498828122277882,0.049240250657045674,0.12691232016763818
4,1660880108.6896064,0.08453030559709741,0.051984837864855346,0.12691232016763818,0.08499583970260227,0.049316155848434254,0.14074143878938805
5,1660880108.9086285,0.08453030559709741,0.041984837864855344,0.14074143878938805,0.08500566701386367,0.04939717218972024,0.11835544543750644
6,1660880109.0865357,0.08453030559709741,0.041984837864855344,0.11835544543750644,0.08499684727863416,0.04947085937435191,0.163205562601965
7,1660880109.288616,0.08453030559709741,0.041984837864855344,0.163205562601965,0.08498918075479392,0.04954427627838946,0.15090521370124255
8,1660880109.4864604,0.08453030559709741,0.03198483786485534,0.15090521370124255,0.0849922729049652,0.04962293217309392,0.13591561206763636
9,1660880109.6865587,0.08453030559709741,0.02198483786485534,0.13591561206763636,0.085004535767407,0.04970778218625897,0.13895268748207765
10,1660880109.8864105,0.08453030559709741,0.02198483786485534,0.13895268748207765,0.08499262134961187,0.04978286209269311,0.16181906253501932
11,1660880110.0865448,0.08453030559709741,0.02198483786485534,0.16181906253501932,0.08498387043038695,0.049854482949624225,0.12441165494660408
12,1660880110.28685,0.08453030559709741,0.01198483786485534,0.12441165494660408,0.0849818075346966,0.04992932869752325,0.11924560460635344
13,1660880110.4866261,0.08453030559709741,0.00198483786485534,0.11924560460635344,0.08498393549527114,0.05001199345713582,0.12772540595815596
14,1660880110.6880913,0.08453030559709741,0.00198483786485534,0.12772540595815596,0.08498133863820553,0.050090035279211825,0.08335751604917936
15,1660880110.887089,0.08453030559709741,-0.008015162135144659,0.08335751604917936,0.08496344458083993,0.05016160851052444,0.12106702472537469
16,1660880111.0864515,0.07854330702300741,-0.009635997412926617,0.0820260782021925,0.08495636810862484,0.05023279111863597,0.11474200582655883
17,1660880111.287758,0.07854330702300741,-0.009635997412926617,0.07570105930337663,0.08495471303146954,0.05031027469454222,0.0849651184639634
18,1660880111.486809,0.08587208793475369,0.007201065977743448,0.1196601754064385,0.08495788895428164,0.05039300378945007,0.06674015279430875
19,1660880111.686144,0.08587208793475369,0.007201065977743448,0.10143520973678384,0.08493472951199328,0.05046158930377903,0.08263898677971372
20,1660880111.886129,0.08621896890158463,-0.002792915891103944,0.1173340437221888,0.08492024627645314,0.050528935822132366,0.0626044764268486
21,1660880112.0863228,0.076507424957704,-0.015821969428396886,0.10569500892581668,0.08490917925008126,0.050602260696830915,0.031168832931923764
22,1660880112.2864907,0.07693819694467033,-0.02581268689488772,0.07425936543089184,0.08490784711040726,0.050685070805431866,0.03309521249662772
23,1660880112.4864156,0.07276809674163816,-0.039171918541522154,0.06109165109100994,0.08488551009338172,0.050754808567007474,0.004519241802561207
24,1660880112.6863976,0.0730480245563075,-0.04916799979462201,0.032515680396943435,0.08485928215759025,0.05082112886187267,0.003141363888712098
25,1660880112.886185,0.0730480245563075,-0.04916799979462201,0.031137802483094314,0.08484541309538679,0.0508903767955225,-0.012796138425505449
26,1660880113.088295,0.07332795237097685,-0.059164081047721875,0.01520030016887677,0.0848335318519275,0.0509675497692313,-0.016251762344717972
27,1660880113.2863772,0.07470725755499402,-0.06551390106535646,0.017113247345090784,0.08482075866865289,0.05104405238613546,-0.062249688115045734
28,1660880113.4864182,0.06504641135381135,-0.07584192365814227,-0.028884678425236964,0.08478640586753095,0.0511076506051156,-0.05529923610011719
29,1660880113.6871488,0.06332733155575045,-0.0902001020156375,-0.05157905858306921,0.08476817897395153,0.05117246738774684,-0.0395944854769726
30,1660880113.8873105,0.06332733155575045,-0.0902001020156375,-0.03587430795992463,0.08474911402275585,0.05124281130132003,-0.09997935251065998
31,1660880114.0906558,0.06336453324511061,-0.10020003281711351,-0.096259174993612,0.08473681284338923,0.05132353417454737,-0.1118839727760567
32,1660880114.2862113,0.06388800569672917,-0.1016113578329945,-0.0869949003613546,0.08469852659624247,0.05138552010901923,-0.11574080419974792
33,1660880114.486159,0.05413996789485906,-0.11185712569164283,-0.09085173178504581,0.08466815340914469,0.05144703103172188,-0.11774196296998242
34,1660880114.6862495,0.050299699212361194,-0.11192701372311067,-0.09327034674234605,0.08464573643298509,0.051513622377956245,-0.15789770104558695
35,1660880114.8863518,0.050299699212361194,-0.11192701372311067,-0.13342608481795057,0.08462565328780318,0.051591539318472816,-0.1457407073632465
36,1660880115.0907226,0.048901689723821,-0.1119612321057431,-0.12126909113561013,0.08459904909753682,0.051661327395232194,-0.21883019680889232
37,1660880115.2866068,0.037866101685920986,-0.12207075989069291,-0.19379496154082554,0.08456980190156212,0.05172130192412733,-0.2929097080104199
38,1660880115.492409,0.038295751278193756,-0.12995789121051218,-0.2605932849790755,0.08456885650720915,0.05178552574845428,-0.29007035338361364
